Catalysed,促進された
Saturated,飽和した
Cautious,用心深い
Panicked,狼狽する
Bubbling,泡立つ
Seething,沸き立つ
Caustic,腐食する
Sapping,搾り取る
of Heat,暖の
of Dousing,消火の
of Staunching,止血の
of Grounding,接地の
Ample,潤沢な
Perpetual,永久なる
of Iron Skin,鉄の肌の
of Reflexes,of Reflexes
of Adrenaline,アドレナリンの
of Steadiness,着実さの
of Resistance,抵抗力の
of Gluttony,暴食の
of Craving,渇望の
of Fending,受け流しの
of Animation,生気の
Surgeon's,外科医の
Avenger's,復讐者の
of Curing,治癒の
Alchemist's,錬金術師の
Chemist's,化学者の
Experimenter's,実験者の
Flagellant's,鞭打苦行者の
Concentrated,濃縮された
Foreboding,予示する
Enduring,持続する
of Bloodletting,瀉血の
of Draining,吸収の
of Acceleration,加速の
of Quickening,of Quickening
of Infliction,侵害の
of Efficiency,効率の
of Warding,守衛の
of Runeflaring,ルーンフレアの
of Precision,精密さの
Undiluted,無希釈の
Thickened,分厚い
Viscous,ねっとりした
Condensed,凝縮した
Substantial,多量の
Opaque,不透明な
Full-bodied,濃厚な
Prudent,慎重な
Prepared,準備のいい
Wary,入念な
Careful,注意深い
Startled,驚く
Frightened,恐れる
Alarmed,警戒する
Terrified,恐怖する
Simmering,煮え立つ
Ebullient,迸る
Effusive,溢れ出る
Effervescent,活気に満ちた
Aged,熟成した
Fermented,発酵した
Congealed,凝結した
Turbid,混濁した
Impairing,阻害する
Dizzying,目眩のする
Depleting,消耗する
Vitiating,弱化する
Wide,広い
Plentiful,多量の
Bountiful,豊潤な
Abundant,余りある
Constant,常在の
Continuous,絶え間なき
Endless,果てなき
Bottomless,底なしの
Doled,配布された
Provisioned,提供された
Measured,配分された
Allocated,割り当てられた
Rationed,配給された
of the Abalone,アワビの
of the Tortoise,カメの
of the Pangolin,センザンコウの
of the Armadillo,アルマジロの
of the Gazelle,ガゼルの
of the Antelope,レイヨウの
of the Ibex,アイベックスの
of the Impala,インパラの
of the Hare,ウサギの
of the Lynx,リンクスの
of the Cheetah,チーターの
of Stiffness,硬直の
of Bracing,支えの
of Ballast,底荷の
of Counterpoise,釣り合いの
of Stabilisation,安定化の
of the Crystal,クリスタルの
of the Prism,プリズムの
of the Kaleidoscope,万華鏡の
of Variegation,斑入りの
of the Rainbow,虹の
of the Novice,初心者の
of the Acolyte,侍祭の
of the Summoner,召喚師の
of the Conjurer,祈祷師の
of the Necromancer,死霊術師の
Medic's,衛生兵の
Physician's,医師の
Doctor's,医者の
Specialist's,専門医の
Abecedarian's,初学者の
Dabbler's,素人の
Apprentice's,弟子の
Scholar's,学者の
Practitioner's,実践者の
Brewer's,醸造者の
Investigator's,調査者の
Analyst's,分析者の
Examiner's,検査者の
Clinician's,臨床医の
Delinquent's,不良の
Transgressor's,違反者の
Sinner's,罪人の
Masochist's,マゾヒストの
Nitrate,硝酸塩の
Dolomite,苦灰石の
Kieserite,キーゼル石の
Kainite,カイナイトの
Gypsum,石膏の
of Bloodshed,血潮の
of Gore,血煙の
of Carnage,虐殺の
of Butchery,屠殺の
of Diverting,逸らしの
of Depletion,消費の
of Tapping,吸い取りの
of Siphoning,抽出の
of the Falcon,隼の
of the Eagle,鷲の
of the Dove,鳩の
of the Albatross,アルバトロスの
of the Hummingbird,ハチドリの
of the Horsefly,アブの
of the Monkey,サルの
of the Raccoon,アライグマの
of the Crow,鴉の
of Stinging,穿刺の
of Piercing,貫通の
of Rupturing,破裂の
of Penetrating,穿通の
of Incision,切開の
of Foisting,押し付けの
of Imposing,強要の
of Wreaking,加害の
of Composure,平静の
of Surefootedness,確かな足取りの
of Persistence,粘り強さの
of Relentlessness,執拗さの
of Tenaciousness,しつこさの
of the Pupil,生徒の
of the Initiate,初級者の
of the Mage,魔道師の
of the Arcanist,秘術師の
of the Sorcerer,妖術師の
of the Rabbit,ウサギの
of the Cat,猫の
of the Fox,狐の
of the Sable,クロテンの
of the Bear,熊の
of the Plover,チドリの
of the Sandpiper,シギの
of the Cormorant,ウの
of the Sanderling,ミユビシギの
of the Heron,サギの
of the Petrel,ミズナギドリの
of the Mockingbird,モッキングバードの
of the Curlew,ダイシャクシギの
of the Kakapo,カカポの
of the Owl,梟の
of the Orca,シャチの
of the Sea Lion,アシカの
of the Narwhal,イッカクの
of the Beluga,シロイルカの
of the Seal,アシカの
of the Guppy,グッピーの
of the Goldfish,金魚の
of the Carp,鯉の
of the Catfish,ナマズの
of the Sunfish,マンボウの
of Tree Moss,不老草の
of Turf Moss,フサゴケの
of Tooth Moss,ツボゴケの
of Plume Moss,ダショウゴケの
of Bog Moss,ミズゴケの
of Interference,邪魔の
